 Number,Item,Item Count,Location,Transaction Name,Date
TT22A12182112,DE-E03-BLA,1,Stock-CA,Item Receipt #IR3376,5/31/2023
TT22A12182112,DE-E03-BLA,1,Stock-TX,Item Receipt #IR3738,8/10/2023
TT22A12182113,DE-E03-BLA,1,Stock-CA,Item Receipt #IR3376,5/31/2023
TT22A12182113,DE-E03-BLA,1,Stock-TX,Item Receipt #IR3738,8/10/2023
TT22A12182114,DE-E03-BLA,1,Stock-CA,Item Receipt #IR3376,5/31/2023
TT22A12182114,DE-E03-BLA,1,Stock-TX,Item Receipt #IR3738,8/10/2023
TT22A12182115,DE-E03-BLA,1,Stock-CA,Item Receipt #IR3249,5/9/2023
TT22A12182115,DE-E03-BLA,1,Stock-TX,Item Receipt #IR3741,8/11/2023
TT22A12182117,DE-E03-BLA,1,1375ONT-CA,Item Receipt #IR3108,4/3/2023
TT22A12182117,DE-E03-BLA,1,Stock-TX,Item Receipt #IR3166,4/21/2023
TT22A12182118,DE-E03-BLA,1,Stock-CA,Item Receipt #IR3249,5/9/2023
TT22A12182118,DE-E03-BLA,1,Stock-TX,Item Receipt #IR3741,8/11/2023
TT22A12182119,DE-E03-BLA,1,Stock-CA,Item Receipt #IR3575,7/5/2023
TT22A12182120,DE-E03-BLA,1,1375ONT-CA,Item Receipt #IR3108,4/3/2023
TT22A12182120,DE-E03-BLA,1,Stock-TX,Item Receipt #IR3166,4/21/2023
TT22A12182121,DE-E03-BLA,1,Stock-CA,Item Receipt #IR3376,5/31/2023
TT22A12182121,DE-E03-BLA,1,Stock-TX,Item Receipt #IR3738,8/10/2023
TT22A12182122,DE-E03-BLA,1,Stock-CA,Item Receipt #IR3376,5/31/2023
TT22A12182122,DE-E03-BLA,1,Stock-TX,Item Receipt #IR3738,8/10/2023
TT22A12182123,DE-E03-BLA,1,Stock-CA,Item Receipt #IR3249,5/9/2023
TT22A12182123,DE-E03-BLA,1,Stock-TX,Item Receipt #IR3738,8/10/2023
TT22A12182125,DE-E03-BLA,1,Stock-CA,Item Receipt #IR3575,7/5/2023
TT22A12182128,DE-E03-BLA,1,Stock-CA,Item Receipt #IR3376,5/31/2023
TT22A12182128,DE-E03-BLA,1,Stock-TX,Item Receipt #IR3738,8/10/2023
TT22A12182129,DE-E03-BLA,1,Stock-CA,Item Receipt #IR3249,5/9/2023
TT22A12182129,DE-E03-BLA,1,Stock-TX,Item Receipt #IR3738,8/10/2023
TT22A12182131,DE-E03-BLA,1,1375ONT-CA,Item Receipt #IR3108,4/3/2023
TT22A12182131,DE-E03-BLA,1,Stock-TX,Item Receipt #IR3166,4/21/2023
TT22A12182133,DE-E03-BLA,1,1375ONT-CA,Item Receipt #IR3108,4/3/2023
TT22A12182133,DE-E03-BLA,1,Stock-TX,Item Receipt #IR3166,4/21/2023
TT22A12182135,DE-E03-BLA,1,Stock-CA,Item Receipt #IR3376,5/31/2023
TT22A12182135,DE-E03-BLA,1,Stock-TX,Item Receipt #IR3738,8/10/2023
TT22A12182136,DE-E03-BLA,1,Stock-CA,Item Receipt #IR3376,5/31/2023
TT22A12182136,DE-E03-BLA,1,Stock-TX,Item Receipt #IR3738,8/10/2023
TT22A12182137,DE-E03-BLA,1,Stock-CA,Item Receipt #IR3249,5/9/2023
TT22A12182137,DE-E03-BLA,1,Stock-TX,Item Receipt #IR3741,8/11/2023
TT22A12182138,DE-E03-BLA,1,Stock-CA,Item Receipt #IR3575,7/5/2023
TT22A12182139,DE-E03-BLA,1,1375ONT-CA,Item Receipt #IR3108,4/3/2023
TT22A12182139,DE-E03-BLA,1,Stock-TX,Item Receipt #IR3166,4/21/2023
TT22A12182140,DE-E03-BLA,1,1375ONT-CA,Item Receipt #IR3108,4/3/2023
TT22A12182140,DE-E03-BLA,1,Stock-TX,Item Receipt #IR3166,4/21/2023
TT22A12182141,DE-E03-BLA,1,Stock-CA,Item Receipt #IR3376,5/31/2023
TT22A12182141,DE-E03-BLA,1,Stock-TX,Item Receipt #IR3738,8/10/2023
TT22A12182142,DE-E03-BLA,1,Stock-CA,Item Receipt #IR3249,5/9/2023
TT22A12182142,DE-E03-BLA,1,Stock-TX,Item Receipt #IR3741,8/11/2023
TT22A12182143,DE-E03-BLA,1,Stock-CA,Item Receipt #IR3249,5/9/2023
TT22A12182143,DE-E03-BLA,1,Stock-TX,Item Receipt #IR3741,8/11/2023
TT22A12182144,DE-E03-BLA,1,Stock-CA,Item Receipt #IR3376,5/31/2023
TT22A12182144,DE-E03-BLA,1,Stock-TX,Item Receipt #IR3738,8/10/2023
TT22A12182145,DE-E03-BLA,1,1375ONT-CA,Item Receipt #IR3108,4/3/2023
TT22A12182145,DE-E03-BLA,1,Stock-TX,Item Receipt #IR3166,4/21/2023
TT22A12182150,DE-E03-BLA,1,Stock-CA,Item Receipt #IR3185,4/24/2023
TT22A12182150,DE-E03-BLA,1,Stock-TX,Item Receipt #IR3210,5/2/2023
TT22A12182151,DE-E03-BLA,1,1375ONT-CA,Item Receipt #IR3108,4/3/2023
TT22A12182151,DE-E03-BLA,1,Stock-TX,Item Receipt #IR3166,4/21/2023
TT22A12182152,DE-E03-BLA,1,Stock-CA,Item Receipt #IR3575,7/5/2023
TT22A12182153,DE-E03-BLA,1,Stock-CA,Item Receipt #IR3376,5/31/2023
TT22A12182153,DE-E03-BLA,1,Stock-TX,Item Receipt #IR3738,8/10/2023
TT22A12182157,DE-E03-BLA,1,Stock-CA,Item Receipt #IR3249,5/9/2023
TT22A12182157,DE-E03-BLA,1,Stock-TX,Item Receipt #IR3738,8/10/2023
TT22A12182158,DE-E03-BLA,1,1375ONT-CA,Item Receipt #IR3108,4/3/2023
TT22A12182158,DE-E03-BLA,1,Stock-TX,Item Receipt #IR3166,4/21/2023
TT22A12182159,DE-E03-BLA,1,Stock-CA,Item Receipt #IR3249,5/9/2023
TT22A12182159,DE-E03-BLA,1,Stock-TX,Item Receipt #IR3741,8/11/2023
TT22A12182163,DE-E03-BLA,1,Stock-CA,Item Receipt #IR3249,5/9/2023
TT22A12182163,DE-E03-BLA,1,Stock-TX,Item Receipt #IR3738,8/10/2023
TT22A12182164,DE-E03-BLA,1,Stock-CA,Item Receipt #IR3185,4/24/2023
TT22A12182164,DE-E03-BLA,1,Stock-TX,Item Receipt #IR3210,5/2/2023
TT22A12182165,DE-E03-BLA,1,1375ONT-CA,Item Receipt #IR3108,4/3/2023
TT22A12182165,DE-E03-BLA,1,Stock-TX,Item Receipt #IR3166,4/21/2023
